Player,Salary,Age,Team,Conference,Rank
Jarace Walker,6362520,21,Indiana Pacers,East,4
Isaiah Jackson,4435381,23,Indiana Pacers,East,4
Ben Sheppard,2663880,23,Indiana Pacers,East,4
James Wiseman,2237691,23,Indiana Pacers,East,4
James Johnson,2087519,37,Indiana Pacers,East,4
Thomas Bryant,2087519,27,Indiana Pacers,East,4
Andrew Nembhard,2019699,25,Indiana Pacers,East,4
Johnny Furphy,1850842,20,Indiana Pacers,East,4
Tony Bradley,600545,27,Indiana Pacers,East,4
Jahlil Okafor,119972,29,Indiana Pacers,East,4
Giannis Antetokounmpo,48787676,30,Milwaukee Bucks,East,5
Damian Lillard,48787676,34,Milwaukee Bucks,East,5
Kyle Kuzma,24456061,29,Milwaukee Bucks,East,5
Brook Lopez,23000000,36,Milwaukee Bucks,East,5
Bobby Portis,12578286,29,Milwaukee Bucks,East,5
Pat Connaughton,9423869,32,Milwaukee Bucks,East,5
Kevin Porter Jr.,3366937,24,Milwaukee Bucks,East,5
A.J. Green,2120693,25,Milwaukee Bucks,East,5
Jericho Sims,2092344,26,Milwaukee Bucks,East,5
Gary Trent Jr.,2087519,26,Milwaukee Bucks,East,5
Taurean Prince,2087519,30,Milwaukee Bucks,East,5
Chris Livingston,1891857,21,Milwaukee Bucks,East,5
Andre Jackson Jr.,1891857,23,Milwaukee Bucks,East,5
Tyler Smith,1157153,20,Milwaukee Bucks,East,5
Ryan Rollins,1091887,22,Milwaukee Bucks,East,5
Shai Gilgeous-Alexander,35859950,26,Oklahoma City Thunder,West,1
Isaiah Hartenstein,30000000,26,Oklahoma City Thunder,West,1
Luguentz Dort,16500000,25,Oklahoma City Thunder,West,1
Isaiah Joe,12991650,25,Oklahoma City Thunder,West,1
Chet Holmgren,10880640,22,Oklahoma City Thunder,West,1
Aaron Wiggins,10514017,26,Oklahoma City Thunder,West,1
Alex Caruso,9890000,30,Oklahoma City Thunder,West,1
Kenrich Williams,6669000,30,Oklahoma City Thunder,West,1
Cason Wallace,5555880,21,Oklahoma City Thunder,West,1
Ousmane Dieng,5027040,21,Oklahoma City Thunder,West,1
Jalen Williams,4775760,23,Oklahoma City Thunder,West,1
Ajay Mitchell,3000000,22,Oklahoma City Thunder,West,1
Dillon Jones,2622360,23,Oklahoma City Thunder,West,1
Jaylin Williams,2019699,22,Oklahoma City Thunder,West,1
Branden Carlson,496519,25,Oklahoma City Thunder,West,1
