TEAM_NAME,YEAR,CONF_RANK,Conference
Jazz,2011,8,West
Jazz,2012,9,West
Jazz,2013,15,West
Jazz,2014,11,West
Jazz,2015,9,West
Jazz,2016,5,West
Jazz,2017,5,West
Jazz,2018,5,West
Jazz,2019,6,West
Jazz,2020,1,West
Jazz,2021,5,West
Jazz,2022,12,West
Jazz,2023,12,West
Jazz,2024,15,West
Grizzlies,2010,8,West
Grizzlies,2011,4,West
Grizzlies,2012,5,West
Grizzlies,2013,7,West
Grizzlies,2014,5,West
Grizzlies,2015,7,West
Grizzlies,2016,7,West
Grizzlies,2017,14,West
Grizzlies,2018,12,West
Grizzlies,2019,9,West
Grizzlies,2020,8,West
Grizzlies,2021,2,West
Grizzlies,2022,2,West
Grizzlies,2023,13,West
Grizzlies,2024,8,West
Wizards,2010,13,East
Wizards,2011,14,East
Wizards,2012,12,East
Wizards,2013,5,East
Wizards,2014,5,East
Wizards,2015,10,East
Wizards,2016,4,East
Wizards,2017,8,East
Wizards,2018,11,East
Wizards,2019,9,East
Wizards,2020,8,East
Wizards,2021,12,East
Wizards,2022,12,East
Wizards,2023,14,East
Wizards,2024,15,East
Pistons,2010,11,East
Pistons,2011,10,East
Pistons,2012,11,East
Pistons,2013,11,East
Pistons,2014,12,East
Pistons,2015,8,East
Pistons,2016,10,East
Pistons,2017,9,East
Pistons,2018,8,East
Pistons,2019,13,East
Pistons,2020,15,East
Pistons,2021,14,East
Pistons,2022,15,East
Pistons,2023,15,East
Pistons,2024,6,East
Bobcats,2010,10,East
Bobcats,2011,15,East
Bobcats,2012,14,East
Bobcats,2013,7,East
Hornets,2014,11,East
Hornets,2015,6,East
Hornets,2016,11,East
Hornets,2017,10,East
Hornets,2018,9,East
Hornets,2019,10,East
Hornets,2020,10,East
Hornets,2021,10,East
Hornets,2022,14,East
Hornets,2023,13,East
Hornets,2024,14,East
